1:1	بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	bismi lːaːhi rːaħmaːni rːaħiːm
2:280	وَإِن كَانَ ذُو عُسۡرَةٍ فَنَظِرَةٌ إِلَىٰ مَيۡسَرَةٍ‌ۚ وَأَن تَصَدَّقُواۡ خَيۡرٌ لَّكُمۡ‌ۖ إِن كُنتُمۡ تَعۡلَمُونَ	waʔiⁿ kaːna ðuː ʕusratiⁿ fanaðˤiratun ʔilaː majsarati w̃ːaʔaⁿ tasˤadːaquː xajru lːakum ʔiⁿ kuⁿtum taʕlamuːn
2:281	وَٱتَّقُواۡ يَوۡمًا تُرۡجَعُونَ فِيهِ إِلَى ٱللَّهِ‌ۖ ثُمَّ تُوَفَّىٰ كُلُّ نَفۡسٍ مَّا كَسَبَتۡ وَهُمۡ لَا يُظۡلَمُونَ	watːaquː jawmaⁿ turd͡ʒaʕuːna fiːhi ʔilaː lːaːhi θumː̃a tuwafːaː kulːu nafsi mː̃aː kasabat wahum laː juðˤlamuːn
2:282	يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓاۡ إِذَا تَدَايَنتُم بِدَيۡنٍ إِلَىٰٓ أَجَلٍ مُّسَمًّى فَٱكۡتُبُوهُ‌ۚ وَلۡيَكۡتُب بَّيۡنَكُمۡ كَاتِبُۢ بِٱلۡعَدۡلِ‌ۚ وَلَا يَأۡبَ كَاتِبٌ أَن يَكۡتُبَ كَمَا عَلَّمَهُ ٱللَّهُ‌ۚ فَلۡيَكۡتُبۡ وَلۡيُمۡلِلِ ٱلَّذِى عَلَيۡهِ ٱلۡحَقُّ وَلۡيَتَّقِ ٱللَّهَ رَبَّهُۥ وَلَا يَبۡخَسۡ مِنۡهُ شَيۡــًٔا‌ۚ فَإِن كَانَ ٱلَّذِى عَلَيۡهِ ٱلۡحَقُّ سَفِيهًا أَوۡ ضَعِيفًا أَوۡ لَا يَسۡتَطِيعُ أَن يُمِلَّ هُوَ فَلۡيُمۡلِلۡ وَلِيُّهُۥ بِٱلۡعَدۡلِ‌ۚ وَٱسۡتَشۡهِدُواۡ شَهِيدَيۡنِ مِن رِّجَالِكُمۡ‌ۖ فَإِن لَّمۡ يَكُونَا رَجُلَيۡنِ فَرَجُلٌ وَٱمۡرَأَتَانِ مِمَّن تَرۡضَوۡنَ مِنَ ٱلشُّهَدَآءِ أَن تَضِلَّ إِحۡدَٮٰهُمَا فَتُذَكِّرَ إِحۡدَٮٰهُمَا ٱلۡأُخۡرَىٰ‌ۚ وَلَا يَأۡبَ ٱلشُّهَدَآءُ إِذَا مَا دُعُواۡ‌ۚ وَلَا تَسۡــَٔمُوٓاۡ أَن تَكۡتُبُوهُ صَغِيرًا أَوۡ كَبِيرًا إِلَىٰٓ أَجَلِهِۦ‌ۚ ذٰلِكُمۡ أَقۡسَطُ عِندَ ٱللَّهِ وَأَقۡوَمُ لِلشَّهَـٰدَةِ وَأَدۡنَىٰٓ أَلَّا تَرۡتَابُوٓاۡ‌ۖ إِلَّآ أَن تَكُونَ تِجَـٰرَةً حَاضِرَةً تُدِيرُونَهَا بَيۡنَكُمۡ فَلَيۡسَ عَلَيۡكُمۡ جُنَاحٌ أَلَّا تَكۡتُبُوهَا‌ۗ وَأَشۡهِدُوٓاۡ إِذَا تَبَايَعۡتُمۡ‌ۚ وَلَا يُضَآرَّ كَاتِبٌ وَلَا شَهِيدٌ‌ۚ وَإِن تَفۡعَلُواۡ فَإِنَّهُۥ فُسُوقُۢ بِكُمۡ‌ۗ وَٱتَّقُواۡ ٱللَّهَ‌ۖ وَيُعَلِّمُكُمُ ٱللَّهُ‌ۗ وَٱللَّهُ بِكُلِّ شَىۡءٍ عَلِيمٌ	jaːːʔajːuhaː lːaðiːna ʔaːmanuːː ʔiðaː tadaːjaⁿtuᵐ bidajnin ʔilaːː ʔad͡ʒali mː̃usamː̃aⁿ faktubuːhu waljaktu bːajnakum kaːtibuᵐ bilʕadᵊli walaː jaʔba kaːtibun ʔa j̃ːaktuba kamaː ʕalːamahu lːaːhu faljaktubᵊ waljumlili lːaðiː ʕalajhi lħaqːu waljatːaqi lːaːha rabːahuː walaː jabᵊxas minhu ʃajʔaⁿ faʔiⁿ kaːna lːaðiː ʕalajhi lħaqːu safiːhan ʔaw dˤaʕiːfan ʔaw laː jastatˤiːʕu ʔa j̃ːumilːa huwa faljumlil walijːuhuː bilʕadᵊli wastaʃhiduː ʃahiːdajni mi rːid͡ʒaːlikum faʔi lːam jakuːnaː rad͡ʒulajni farad͡ʒulu w̃ːamraʔataːni mimː̃aⁿ tardˤawna mina ʃːuhadaːːʔi ʔaⁿ tadˤilːa ʔiħdaːhumaː fatuðakːira ʔiħdaːhumaː lʔuxraː walaː jaʔba ʃːuhadaːːʔu ʔiðaː maː duʕuː walaː tasʔamuːː ʔaⁿ taktubuːhu sˤaɣiːran ʔaw kabiːran ʔilaːː ʔad͡ʒalihiː ðaːlikum ʔaqᵊsatˤu ʕiⁿda lːaːhi waʔaqᵊwamu lilʃːahaːdati waʔadᵊnaːː ʔalːaː tartaːbuːː ʔilːaːː ʔaⁿ takuːna tid͡ʒaːratan ħaːdˤirataⁿ tudiːruːnahaː bajnakum falajsa ʕalajkum d͡ʒunaːħun ʔalːaː taktubuːhaː waʔaʃhiduːː ʔiðaː tabaːjaʕtum walaː judˤaːːːrːa kaːtibu w̃ːalaː ʃahiːdu w̃ːaʔiⁿ tafʕaluː faʔinː̃ahuː fusuːquᵐ bikum watːaquː lːaːha wajuʕalːimukumu lːaːhu walːaːhu bikulːi ʃaːʔin ʕaliːm
2:283	۞وَإِن كُنتُمۡ عَلَىٰ سَفَرٍ وَلَمۡ تَجِدُواۡ كَاتِبًا فَرِهَـٰنٌ مَّقۡبُوضَةٌ‌ۖ فَإِنۡ أَمِنَ بَعۡضُكُم بَعۡضًا فَلۡيُؤَدِّ ٱلَّذِى ٱؤۡتُمِنَ أَمَـٰنَتَهُۥ وَلۡيَتَّقِ ٱللَّهَ رَبَّهُۥ‌ۗ وَلَا تَكۡتُمُواۡ ٱلشَّهَـٰدَةَ‌ۚ وَمَن يَكۡتُمۡهَا فَإِنَّهُۥٓ ءَاثِمٌ قَلۡبُهُۥ‌ۗ وَٱللَّهُ بِمَا تَعۡمَلُونَ عَلِيمٌ	waʔiⁿ kuⁿtum ʕalaː safari w̃ːalam tad͡ʒiduː kaːtibaⁿ farihaːnu mː̃aqᵊbuːdˤatuⁿ faʔin ʔamina baʕdˤukuᵐ baʕdˤaⁿ faljuʔadːi lːaðiː ʔtumina ʔamaːnatahuː waljatːaqi lːaːha rabːahuː walaː taktumuː ʃːahaːdata wama j̃ːaktumhaː faʔinː̃ahuːː ʔaːθimuⁿ qalbuhuː walːaːhu bimaː taʕmaluːna ʕaliːm
2:284	لِّلَّهِ مَا فِى ٱلسَّمَـٰوٰتِ وَمَا فِى ٱلۡأَرۡضِ‌ۗ وَإِن تُبۡدُواۡ مَا فِىٓ أَنفُسِكُمۡ أَوۡ تُخۡفُوهُ يُحَاسِبۡكُم بِهِ ٱللَّهُ‌ۖ فَيَغۡفِرُ لِمَن يَشَآءُ وَيُعَذِّبُ مَن يَشَآءُ‌ۗ وَٱللَّهُ عَلَىٰ كُلِّ شَىۡءٍ قَدِيرٌ	lːilːaːhi maː fiː sːamaːwaːti wamaː fiː lʔardˤi waʔiⁿ tubᵊduː maː fiːː ʔaⁿfusikum ʔaw tuxfuːhu juħaːsibᵊkuᵐ bihi lːaːhu fajaɣfiru lima j̃ːaʃaːːʔu wajuʕaðːibu ma j̃ːaʃaːːʔu walːaːhu ʕalaː kulːi ʃaːʔiⁿ qadiːr
2:285	ءَامَنَ ٱلرَّسُولُ بِمَآ أُنزِلَ إِلَيۡهِ مِن رَّبِّهِۦ وَٱلۡمُؤۡمِنُونَ‌ۚ كُلٌّ ءَامَنَ بِٱللَّهِ وَمَلَـٰٓئِكَتِهِۦ وَكُتُبِهِۦ وَرُسُلِهِۦ لَا نُفَرِّقُ بَيۡنَ أَحَدٍ مِّن رُّسُلِهِۦ‌ۚ وَقَالُواۡ سَمِعۡنَا وَأَطَعۡنَا‌ۖ غُفۡرَانَكَ رَبَّنَا وَإِلَيۡكَ ٱلۡمَصِيرُ	ʔaːmana rːasuːlu bimaːː ʔuⁿzila ʔilajhi mi rːabːihiː walmuʔminuːna kulːun ʔaːmana bilːaːhi wamalaːːʔikatihiː wakutubihiː warusulihiː laː nufarːiqu bajna ʔaħadi mː̃i rːusulihiː waqaːluː samiʕnaː waʔatˤaʕnaː ɣufraːnaka rabːanaː waʔilajka lmasˤiːr
2:286	لَا يُكَلِّفُ ٱللَّهُ نَفۡسًا إِلَّا وُسۡعَهَا‌ۚ لَهَا مَا كَسَبَتۡ وَعَلَيۡهَا مَا ٱكۡتَسَبَتۡ‌ۗ رَبَّنَا لَا تُؤَاخِذۡنَآ إِن نَّسِينَآ أَوۡ أَخۡطَأۡنَا‌ۚ رَبَّنَا وَلَا تَحۡمِلۡ عَلَيۡنَآ إِصۡرًا كَمَا حَمَلۡتَهُۥ عَلَى ٱلَّذِينَ مِن قَبۡلِنَا‌ۚ رَبَّنَا وَلَا تُحَمِّلۡنَا مَا لَا طَاقَةَ لَنَا بِهِۦ‌ۖ وَٱعۡفُ عَنَّا وَٱغۡفِرۡ لَنَا وَٱرۡحَمۡنَآ‌ۚ أَنتَ مَوۡلَـٰنَا فَٱنصُرۡنَا عَلَى ٱلۡقَوۡمِ ٱلۡكَـٰفِرِينَ	laː jukalːifu lːaːhu nafsan ʔilːaː wusʕahaː lahaː maː kasabat waʕalajhaː maː ktasabat rabːanaː laː tuʔaːxiðnaːː ʔi nː̃asiːnaːː ʔaw ʔaxtˤaʔnaː rabːanaː walaː taħmil ʕalajnaːː ʔisˤraⁿ kamaː ħamaltahuː ʕalaː lːaðiːna miⁿ qabᵊlinaː rabːanaː walaː tuħamː̃ilnaː maː laː tˤaːqata lanaː bihiː waʕfu ʕanː̃aː waɣfir lanaː warħamnaːː ʔaⁿta mawlaːnaː faⁿsˤurnaː ʕalaː lqawmi lkaːfiriːn
3:1	الٓمٓ	ʔalif laːːːm miːːːm
3:2	ٱللَّهُ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلۡحَىُّ ٱلۡقَيُّومُ	ʔalːaːhu laːː ʔilaːha ʔilːaː huwa lħajːu lqajːuːm
3:3	نَزَّلَ عَلَيۡكَ ٱلۡكِتَـٰبَ بِٱلۡحَقِّ مُصَدِّقًا لِّمَا بَيۡنَ يَدَيۡهِ وَأَنزَلَ ٱلتَّوۡرَٮٰةَ وَٱلۡإِنجِيلَ	nazːala ʕalajka lkitaːba bilħaqːi musˤadːiqa lːimaː bajna jadajhi waʔaⁿzala tːawraːta walʔiⁿd͡ʒiːl
3:4	مِن قَبۡلُ هُدًى لِّلنَّاسِ وَأَنزَلَ ٱلۡفُرۡقَانَ‌ۗ إِنَّ ٱلَّذِينَ كَفَرُواۡ بِـَٔـايَـٰتِ ٱللَّهِ لَهُمۡ عَذَابٌ شَدِيدٌ‌ۗ وَٱللَّهُ عَزِيزٌ ذُو ٱنتِقَامٍ	miⁿ qabᵊlu huda lːilnː̃aːsi waʔaⁿzala lfurqaːna ʔinː̃a lːaðiːna kafaruː biʔaːjaːti lːaːhi lahum ʕaðaːbuⁿ ʃadiːdu w̃ːalːaːhu ʕaziːzuⁿ ðuː ⁿtiqaːm
3:5	إِنَّ ٱللَّهَ لَا يَخۡفَىٰ عَلَيۡهِ شَىۡءٌ فِى ٱلۡأَرۡضِ وَلَا فِى ٱلسَّمَآءِ	ʔinː̃a lːaːha laː jaxfaː ʕalajhi ʃaːʔuⁿ fiː lʔardˤi walaː fiː sːamaːːʔ
3:6	هُوَ ٱلَّذِى يُصَوِّرُكُمۡ فِى ٱلۡأَرۡحَامِ كَيۡفَ يَشَآءُ‌ۚ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ	huwa lːaðiː jusˤawːirukum fiː lʔarħaːmi kajfa jaʃaːːʔu laːː ʔilaːha ʔilːaː huwa lʕaziːzu lħakiːm
3:7	هُوَ ٱلَّذِىٓ أَنزَلَ عَلَيۡكَ ٱلۡكِتَـٰبَ مِنۡهُ ءَايَـٰتٌ مُّحۡكَمَـٰتٌ هُنَّ أُمُّ ٱلۡكِتَـٰبِ وَأُخَرُ مُتَشَـٰبِهَـٰتٌ‌ۖ فَأَمَّا ٱلَّذِينَ فِى قُلُوبِهِمۡ زَيۡغٌ فَيَتَّبِعُونَ مَا تَشَـٰبَهَ مِنۡهُ ٱبۡتِغَآءَ ٱلۡفِتۡنَةِ وَٱبۡتِغَآءَ تَأۡوِيلِهِۦ‌ۗ وَمَا يَعۡلَمُ تَأۡوِيلَهُۥٓ إِلَّا ٱللَّهُ‌ۗ وَٱلرّٰسِخُونَ فِى ٱلۡعِلۡمِ يَقُولُونَ ءَامَنَّا بِهِۦ كُلٌّ مِّنۡ عِندِ رَبِّنَا‌ۗ وَمَا يَذَّكَّرُ إِلَّآ أُوۡلُواۡ ٱلۡأَلۡبَـٰبِ	huwa lːaðiːː ʔaⁿzala ʕalajka lkitaːba minhu ʔaːjaːtu mː̃uħkamaːtun hunː̃a ʔumː̃u lkitaːbi waʔuxaru mutaʃaːbihaːtuⁿ faʔamː̃aː lːaðiːna fiː quluːbihim zajɣuⁿ fajatːabiʕuːna maː taʃaːbaha minhu bᵊtiɣaːːʔa lfitnati wabᵊtiɣaːːʔa taʔwiːlihiː wamaː jaʕlamu taʔwiːlahuːː ʔilːaː lːaːhu warːaːsixuːna fiː lʕilmi jaquːluːna ʔaːmanː̃aː bihiː kulːu mː̃in ʕiⁿdi rabːinaː wamaː jaðːakːaru ʔilːaːː ʔuluː lʔalbaːbᵊ
3:8	رَبَّنَا لَا تُزِغۡ قُلُوبَنَا بَعۡدَ إِذۡ هَدَيۡتَنَا وَهَبۡ لَنَا مِن لَّدُنكَ رَحۡمَةً‌ۚ إِنَّكَ أَنتَ ٱلۡوَهَّابُ	rabːanaː laː tuziɣ quluːbanaː baʕda ʔið hadajtanaː wahabᵊ lanaː mi lːaduⁿka raħmatan ʔinː̃aka ʔaⁿta lwahːaːbᵊ
3:9	رَبَّنَآ إِنَّكَ جَامِعُ ٱلنَّاسِ لِيَوۡمٍ لَّا رَيۡبَ فِيهِ‌ۚ إِنَّ ٱللَّهَ لَا يُخۡلِفُ ٱلۡمِيعَادَ	rabːanaːː ʔinː̃aka d͡ʒaːmiʕu nː̃aːsi lijawmi lːaː rajba fiːhi ʔinː̃a lːaːha laː juxlifu lmiːʕaːdᵊ
3:10	إِنَّ ٱلَّذِينَ كَفَرُواۡ لَن تُغۡنِىَ عَنۡهُمۡ أَمۡوٰلُهُمۡ وَلَآ أَوۡلَـٰدُهُم مِّنَ ٱللَّهِ شَيۡــًٔا‌ۖ وَأُوۡلَـٰٓئِكَ هُمۡ وَقُودُ ٱلنَّارِ	ʔinː̃a lːaðiːna kafaruː laⁿ tuɣnija ʕanhum ʔamwaːluhum walaːː ʔawlaːduhu mː̃ina lːaːhi ʃajʔa w̃ːaʔulaːːʔika hum waquːdu nː̃aːr
3:11	كَدَأۡبِ ءَالِ فِرۡعَوۡنَ وَٱلَّذِينَ مِن قَبۡلِهِمۡ‌ۚ كَذَّبُواۡ بِـَٔـايَـٰتِنَا فَأَخَذَهُمُ ٱللَّهُ بِذُنُوبِهِمۡ‌ۗ وَٱللَّهُ شَدِيدُ ٱلۡعِقَابِ	kadaʔbi ʔaːli firʕawna walːaðiːna miⁿ qabᵊlihim kaðːabuː biʔaːjaːtinaː faʔaxaðahumu lːaːhu biðunuːbihim walːaːhu ʃadiːdu lʕiqaːbᵊ
3:12	قُل لِّلَّذِينَ كَفَرُواۡ سَتُغۡلَبُونَ وَتُحۡشَرُونَ إِلَىٰ جَهَنَّمَ‌ۚ وَبِئۡسَ ٱلۡمِهَادُ	qu lːilːaðiːna kafaruː satuɣlabuːna watuħʃaruːna ʔilaː d͡ʒahanː̃ama wabiʔsa lmihaːdᵊ
3:13	قَدۡ كَانَ لَكُمۡ ءَايَةٌ فِى فِئَتَيۡنِ ٱلۡتَقَتَا‌ۖ فِئَةٌ تُقَـٰتِلُ فِى سَبِيلِ ٱللَّهِ وَأُخۡرَىٰ كَافِرَةٌ يَرَوۡنَهُم مِّثۡلَيۡهِمۡ رَأۡىَ ٱلۡعَيۡنِ‌ۚ وَٱللَّهُ يُؤَيِّدُ بِنَصۡرِهِۦ مَن يَشَآءُ‌ۗ إِنَّ فِى ذٰلِكَ لَعِبۡرَةً لِّأُوۡلِى ٱلۡأَبۡصَـٰرِ	qadᵊ kaːna lakum ʔaːjatuⁿ fiː fiʔatajni taqataː fiʔatuⁿ tuqaːtilu fiː sabiːli lːaːhi waʔuxraː kaːfiratu j̃ːarawnahu mː̃iθlajhim raʔja lʕajni walːaːhu juʔajːidu binasˤrihiː ma j̃ːaʃaːːʔu ʔinː̃a fiː ðaːlika laʕibᵊrata lːiʔuliː lʔabᵊsˤaːr
3:14	زُيِّنَ لِلنَّاسِ حُبُّ ٱلشَّهَوٰتِ مِنَ ٱلنِّسَآءِ وَٱلۡبَنِينَ وَٱلۡقَنَـٰطِيرِ ٱلۡمُقَنطَرَةِ مِنَ ٱلذَّهَبِ وَٱلۡفِضَّةِ وَٱلۡخَيۡلِ ٱلۡمُسَوَّمَةِ وَٱلۡأَنۡعَـٰمِ وَٱلۡحَرۡثِ‌ۗ ذٰلِكَ مَتَـٰعُ ٱلۡحَيَوٰةِ ٱلدُّنۡيَا‌ۖ وَٱللَّهُ عِندَهُۥ حُسۡنُ ٱلۡمَـَٔـابِ	zujːina lilnː̃aːsi ħubːu ʃːahawaːti mina nː̃isaːːʔi walbaniːna walqanaːtˤiːri lmuqaⁿtˤarati mina ðːahabi walfidˤːati walxajli lmusawːamati walʔanʕaːmi walħarθi ðaːlika mataːʕu lħajaːti dːunjaː walːaːhu ʕiⁿdahuː ħusnu lmaʔaːbᵊ
3:15	۞قُلۡ أَؤُنَبِّئُكُم بِخَيۡرٍ مِّن ذٰلِكُمۡ‌ۚ لِلَّذِينَ ٱتَّقَوۡاۡ عِندَ رَبِّهِمۡ جَنَّـٰتٌ تَجۡرِى مِن تَحۡتِهَا ٱلۡأَنۡهَـٰرُ خَـٰلِدِينَ فِيهَا وَأَزۡوٰجٌ مُّطَهَّرَةٌ وَرِضۡوٰنٌ مِّنَ ٱللَّهِ‌ۗ وَٱللَّهُ بَصِيرُۢ بِٱلۡعِبَادِ	qul ʔaʔunabːiʔukuᵐ bixajri mː̃iⁿ ⁿaːlikum lilːaðiːna tːaqaw ʕiⁿda rabːihim d͡ʒanː̃aːtuⁿ tad͡ʒᵊriː miⁿ taħtihaː lʔanhaːru xaːlidiːna fiːhaː waʔazwaːd͡ʒu mː̃utˤahːaratu w̃ːaridˤwaːnu mː̃ina lːaːhi walːaːhu basˤiːruᵐ bilʕibaːdᵊ
3:16	ٱلَّذِينَ يَقُولُونَ رَبَّنَآ إِنَّنَآ ءَامَنَّا فَٱغۡفِرۡ لَنَا ذُنُوبَنَا وَقِنَا عَذَابَ ٱلنَّارِ	ʔalːaðiːna jaquːluːna rabːanaːː ʔinː̃anaːː ʔaːmanː̃aː faɣfir lanaː ðunuːbanaː waqinaː ʕaðaːba nː̃aːr
3:17	ٱلصَّـٰبِرِينَ وَٱلصَّـٰدِقِينَ وَٱلۡقَـٰنِتِينَ وَٱلۡمُنفِقِينَ وَٱلۡمُسۡتَغۡفِرِينَ بِٱلۡأَسۡحَارِ	ʔasˤːaːbiriːna wasˤːaːdiqiːna walqaːnitiːna walmuⁿfiqiːna walmustaɣfiriːna bilʔasħaːr
3:18	شَهِدَ ٱللَّهُ أَنَّهُۥ لَآ إِلَـٰهَ إِلَّا هُوَ وَٱلۡمَلَـٰٓئِكَةُ وَأُوۡلُواۡ ٱلۡعِلۡمِ قَآئِمَۢا بِٱلۡقِسۡطِ‌ۚ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلۡعَزِيزُ ٱلۡحَكِيمُ	ʃahida lːaːhu ʔanː̃ahuː laːː ʔilaːha ʔilːaː huwa walmalaːːʔikatu waʔuluː lʕilmi qaːːʔimaᵐ bilqistˤi laːː ʔilaːha ʔilːaː huwa lʕaziːzu lħakiːm
3:19	إِنَّ ٱلدِّينَ عِندَ ٱللَّهِ ٱلۡإِسۡلَـٰمُ‌ۗ وَمَا ٱخۡتَلَفَ ٱلَّذِينَ أُوتُواۡ ٱلۡكِتَـٰبَ إِلَّا مِنۢ بَعۡدِ مَا جَآءَهُمُ ٱلۡعِلۡمُ بَغۡيَۢا بَيۡنَهُمۡ‌ۗ وَمَن يَكۡفُرۡ بِـَٔـايَـٰتِ ٱللَّهِ فَإِنَّ ٱللَّهَ سَرِيعُ ٱلۡحِسَابِ	ʔinː̃a dːiːna ʕiⁿda lːaːhi lʔislaːmu wamaː xtalafa lːaðiːna ʔuːtuː lkitaːba ʔilːaː miᵐ baʕdi maː d͡ʒaːːʔahumu lʕilmu baɣjaᵐ bajnahum wama j̃ːakfur biʔaːjaːti lːaːhi faʔinː̃a lːaːha sariːʕu lħisaːbᵊ
3:20	فَإِنۡ حَآجُّوكَ فَقُلۡ أَسۡلَمۡتُ وَجۡهِىَ لِلَّهِ وَمَنِ ٱتَّبَعَنِ‌ۗ وَقُل لِّلَّذِينَ أُوتُواۡ ٱلۡكِتَـٰبَ وَٱلۡأُمِّيِّــۧنَ ءَأَسۡلَمۡتُمۡ‌ۚ فَإِنۡ أَسۡلَمُواۡ فَقَدِ ٱهۡتَدَواۡ‌ۖ وَّإِن تَوَلَّوۡاۡ فَإِنَّمَا عَلَيۡكَ ٱلۡبَلَـٰغُ‌ۗ وَٱللَّهُ بَصِيرُۢ بِٱلۡعِبَادِ	faʔin ħaːːːd͡ʒːuːka faqul ʔaslamtu wad͡ʒᵊhija lilːaːhi wamani tːabaʕani waqu lːilːaðiːna ʔuːtuː lkitaːba walʔumː̃ijːiːna ʔaʔaslamtum faʔin ʔaslamuː faqadi htada wːaʔiⁿ tawalːaw faʔinː̃amaː ʕalajka lbalaːɣu walːaːhu basˤiːruᵐ bilʕibaːdᵊ
3:21	إِنَّ ٱلَّذِينَ يَكۡفُرُونَ بِـَٔـايَـٰتِ ٱللَّهِ وَيَقۡتُلُونَ ٱلنَّبِيِّــۧنَ بِغَيۡرِ حَقٍّ وَيَقۡتُلُونَ ٱلَّذِينَ يَأۡمُرُونَ بِٱلۡقِسۡطِ مِنَ ٱلنَّاسِ فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٍ	ʔinː̃a lːaðiːna jakfuruːna biʔaːjaːti lːaːhi wajaqᵊtuluːna nː̃abijːiːna biɣajri ħaqːi w̃ːajaqᵊtuluːna lːaðiːna jaʔmuruːna bilqistˤi mina nː̃aːsi fabaʃːirhuᵐ biʕaðaːbin ʔaliːm
3:22	أُوۡلَـٰٓئِكَ ٱلَّذِينَ حَبِطَتۡ أَعۡمَـٰلُهُمۡ فِى ٱلدُّنۡيَا وَٱلۡأَخِرَةِ وَمَا لَهُم مِّن نَّـٰصِرِينَ	ʔulaːːʔika lːaðiːna ħabitˤat ʔaʕmaːluhum fiː dːunjaː walʔaxirati wamaː lahu mː̃i nː̃aːsˤiriːn
3:23	أَلَمۡ تَرَ إِلَى ٱلَّذِينَ أُوتُواۡ نَصِيبًا مِّنَ ٱلۡكِتَـٰبِ يُدۡعَوۡنَ إِلَىٰ كِتَـٰبِ ٱللَّهِ لِيَحۡكُمَ بَيۡنَهُمۡ ثُمَّ يَتَوَلَّىٰ فَرِيقٌ مِّنۡهُمۡ وَهُم مُّعۡرِضُونَ	ʔalam tara ʔilaː lːaðiːna ʔuːtuː nasˤiːba mː̃ina lkitaːbi judᵊʕawna ʔilaː kitaːbi lːaːhi lijaħkuma bajnahum θumː̃a jatawalːaː fariːqu mː̃inhum wahu mː̃uʕridˤuːn
3:24	ذٰلِكَ بِأَنَّهُمۡ قَالُواۡ لَن تَمَسَّنَا ٱلنَّارُ إِلَّآ أَيَّامًا مَّعۡدُودٰتٍ‌ۖ وَغَرَّهُمۡ فِى دِينِهِم مَّا كَانُواۡ يَفۡتَرُونَ	ðaːlika biʔanː̃ahum qaːluː laⁿ tamasːanaː nː̃aːru ʔilːaːː ʔajːaːma mː̃aʕduːdaːti w̃ːaɣarːahum fiː diːnihi mː̃aː kaːnuː jaftaruːn
3:25	فَكَيۡفَ إِذَا جَمَعۡنَـٰهُمۡ لِيَوۡمٍ لَّا رَيۡبَ فِيهِ وَوُفِّيَتۡ كُلُّ نَفۡسٍ مَّا كَسَبَتۡ وَهُمۡ لَا يُظۡلَمُونَ	fakajfa ʔiðaː d͡ʒamaʕnaːhum lijawmi lːaː rajba fiːhi wawufːijat kulːu nafsi mː̃aː kasabat wahum laː juðˤlamuːn
3:26	قُلِ ٱللَّهُمَّ مَـٰلِكَ ٱلۡمُلۡكِ تُؤۡتِى ٱلۡمُلۡكَ مَن تَشَآءُ وَتَنزِعُ ٱلۡمُلۡكَ مِمَّن تَشَآءُ وَتُعِزُّ مَن تَشَآءُ وَتُذِلُّ مَن تَشَآءُ‌ۖ بِيَدِكَ ٱلۡخَيۡرُ‌ۖ إِنَّكَ عَلَىٰ كُلِّ شَىۡءٍ قَدِيرٌ	quli lːaːhumː̃a maːlika lmulki tuʔtiː lmulka maⁿ taʃaːːʔu wataⁿziʕu lmulka mimː̃aⁿ taʃaːːʔu watuʕizːu maⁿ taʃaːːʔu watuðilːu maⁿ taʃaːːʔu bijadika lxajru ʔinː̃aka ʕalaː kulːi ʃaːʔiⁿ qadiːr
3:27	تُولِجُ ٱلَّيۡلَ فِى ٱلنَّهَارِ وَتُولِجُ ٱلنَّهَارَ فِى ٱلَّيۡلِ‌ۖ وَتُخۡرِجُ ٱلۡحَىَّ مِنَ ٱلۡمَيِّتِ وَتُخۡرِجُ ٱلۡمَيِّتَ مِنَ ٱلۡحَىِّ‌ۖ وَتَرۡزُقُ مَن تَشَآءُ بِغَيۡرِ حِسَابٍ	tuːlid͡ʒu lːajla fiː nː̃ahaːri watuːlid͡ʒu nː̃ahaːra fiː lːajli watuxrid͡ʒu lħajːa mina lmajːiti watuxrid͡ʒu lmajːita mina lħajːi watarzuqu maⁿ taʃaːːʔu biɣajri ħisaːbᵊ
3:28	لَّا يَتَّخِذِ ٱلۡمُؤۡمِنُونَ ٱلۡكَـٰفِرِينَ أَوۡلِيَآءَ مِن دُونِ ٱلۡمُؤۡمِنِينَ‌ۖ وَمَن يَفۡعَلۡ ذٰلِكَ فَلَيۡسَ مِنَ ٱللَّهِ فِى شَىۡءٍ إِلَّآ أَن تَتَّقُواۡ مِنۡهُمۡ تُقَـٰةً‌ۗ وَيُحَذِّرُكُمُ ٱللَّهُ نَفۡسَهُۥ‌ۗ وَإِلَى ٱللَّهِ ٱلۡمَصِيرُ	lːaː jatːaxiði lmuʔminuːna lkaːfiriːna ʔawlijaːːʔa miⁿ duːni lmuʔminiːna wama j̃ːafʕal ðaːlika falajsa mina lːaːhi fiː ʃaːʔin ʔilːaːː ʔaⁿ tatːaquː minhum tuqaːta w̃ːajuħaðːirukumu lːaːhu nafsahuː waʔilaː lːaːhi lmasˤiːr
